,uid,iid,r_ui,est,details
52,bigkfc2k8,202,8.0,8.471981564096925,"{'actual_k': 40, 'was_impossible': False}"
53,aincrad17,9253,10.0,9.292725061022782,"{'actual_k': 40, 'was_impossible': False}"
54,xXsim00Xx,32281,10.0,9.787975318790593,"{'actual_k': 40, 'was_impossible': False}"
55,Tationax,3457,7.0,5.959254274033463,"{'actual_k': 40, 'was_impossible': False}"
56,sergeyshatunov,23079,8.0,5.555862018998915,"{'actual_k': 22, 'was_impossible': False}"
57,Tukuzuka,8074,7.0,8.10145276507896,"{'actual_k': 40, 'was_impossible': False}"
58,hampedahl,17082,7.0,6.51453356686402,"{'actual_k': 15, 'was_impossible': False}"
59,_____nekochan,29093,8.0,8.326948370079466,"{'actual_k': 24, 'was_impossible': False}"
60,bakaneko3115,4280,5.0,8.356187863890087,"{'actual_k': 40, 'was_impossible': False}"
61,Phantasmagoria,348,8.0,8.316070585006491,"{'actual_k': 5, 'was_impossible': False}"
62,blueswan,670,7.0,7.769693627445835,"{'actual_k': 12, 'was_impossible': False}"
63,tactilehenk,3469,7.0,5.5665561154408145,"{'actual_k': 3, 'was_impossible': False}"
64,Junjou9,19769,1.2,5.467996953215772,"{'actual_k': 29, 'was_impossible': False}"
65,ChaynikTeapot,28617,10.0,5.835562359796444,"{'actual_k': 16, 'was_impossible': False}"
66,Jables2121,8074,7.0,7.717369165331064,"{'actual_k': 40, 'was_impossible': False}"
67,john_silvermoon,6758,3.2,4.224817459170023,"{'actual_k': 8, 'was_impossible': False}"
68,kamijoan,9936,5.0,6.684648274086596,"{'actual_k': 40, 'was_impossible': False}"
69,captainlucas,15451,10.0,6.636029774692794,"{'actual_k': 40, 'was_impossible': False}"
70,Chemical_Undead,2107,5.0,6.681280782521566,"{'actual_k': 25, 'was_impossible': False}"
71,ziomalos,10578,7.0,6.503083538043749,"{'actual_k': 40, 'was_impossible': False}"
72,Zed_Astaroth,28069,6.0,5.953854932150039,"{'actual_k': 19, 'was_impossible': False}"
73,KurokawaRyou,2873,7.0,5.6921940698038815,"{'actual_k': 3, 'was_impossible': False}"
74,Shouichirou,3616,7.0,7.2415859417209365,"{'actual_k': 12, 'was_impossible': False}"
75,kaczy,6682,6.0,5.147557431216485,"{'actual_k': 40, 'was_impossible': False}"
76,SisselMarston,22859,6.0,7.985758757871254,"{'actual_k': 3, 'was_impossible': False}"
77,ChilledKomodo,13807,8.0,7.170315822148923,"{'actual_k': 29, 'was_impossible': False}"
78,victorianskiy,30,10.0,8.953652927301412,"{'actual_k': 40, 'was_impossible': False}"
79,DragonKL26,13125,9.0,7.1323367847262045,"{'actual_k': 40, 'was_impossible': False}"
80,CoyBoy,23985,10.0,7.470562751887613,"{'actual_k': 2, 'was_impossible': False}"
81,Vergelanimefan,10588,3.6,7.196533090662422,"{'actual_k': 32, 'was_impossible': False}"
82,RoboleX,32936,7.0,5.725692778072839,"{'actual_k': 11, 'was_impossible': False}"
83,AnotherWish,3002,9.0,8.050116571540666,"{'actual_k': 40, 'was_impossible': False}"
84,Usui-Nero,28497,8.0,8.383328968840885,"{'actual_k': 40, 'was_impossible': False}"
85,Croissant07,8557,8.0,8.211592497200177,"{'actual_k': 23, 'was_impossible': False}"
86,shamanmiyo,123,10.0,7.063182941117902,"{'actual_k': 25, 'was_impossible': False}"
87,ulyna,5356,9.0,6.683381567493665,"{'actual_k': 40, 'was_impossible': False}"
88,Ehmahixessehihem,23673,5.0,4.927887426264414,"{'actual_k': 40, 'was_impossible': False}"
89,Karyna,34933,8.0,8.277493151009107,"{'actual_k': 40, 'was_impossible': False}"
90,HarunoSakura,3455,8.0,6.54156209208194,"{'actual_k': 40, 'was_impossible': False}"
91,dracozauryks,11843,7.0,7.096566131605206,"{'actual_k': 40, 'was_impossible': False}"
92,godT,981,10.0,9.351023446985577,"{'actual_k': 7, 'was_impossible': False}"
93,LadyTomoyo,15451,7.0,7.607309217144415,"{'actual_k': 40, 'was_impossible': False}"
94,astranagant25,1005,6.0,9.137185263853574,"{'actual_k': 1, 'was_impossible': False}"
95,reira,18245,8.0,8.68791820733791,"{'actual_k': 29, 'was_impossible': False}"
96,goldygold,1482,6.0,7.802334584899649,"{'actual_k': 40, 'was_impossible': False}"
97,S-52,14227,6.0,6.588681416333579,"{'actual_k': 40, 'was_impossible': False}"
98,Shouichirou,28979,8.0,7.858203384991499,"{'actual_k': 22, 'was_impossible': False}"
99,ooribaba_mama,11617,7.0,6.613341252062487,"{'actual_k': 40, 'was_impossible': False}"
100,ziomalos,1060,8.0,7.2820834630952,"{'actual_k': 13, 'was_impossible': False}"
101,EvilAEC,19221,7.0,7.272562974016222,"{'actual_k': 40, 'was_impossible': False}"
102,Awaltir,8246,8.0,7.124804048473672,"{'actual_k': 37, 'was_impossible': False}"
103,lightofzeref,2759,8.0,7.906309646448063,"{'actual_k': 40, 'was_impossible': False}"
104,RedQueenifcation,3594,8.0,7.009572320492662,"{'actual_k': 16, 'was_impossible': False}"
105,Azurien,227,9.0,8.213731298592254,"{'actual_k': 40, 'was_impossible': False}"
106,AnessMechaelis,3588,6.0,6.196902295442872,"{'actual_k': 40, 'was_impossible': False}"
107,paulz,2026,3.6,6.069309918338476,"{'actual_k': 40, 'was_impossible': False}"
108,Josay,2759,7.0,7.82951208038948,"{'actual_k': 40, 'was_impossible': False}"
109,Kanoe-san,986,9.0,6.980434862877952,"{'actual_k': 26, 'was_impossible': False}"
110,shanoliu,10464,6.0,5.725389075475018,"{'actual_k': 12, 'was_impossible': False}"
111,Paolo_58,34176,8.0,7.6292676770797545,"{'actual_k': 24, 'was_impossible': False}"
112,Cinx,1699,8.0,6.320536763097807,"{'actual_k': 28, 'was_impossible': False}"
113,TheMightyKawama,849,9.0,8.867293482715812,"{'actual_k': 40, 'was_impossible': False}"
114,OtakuBaz,10080,9.0,8.951848130403313,"{'actual_k': 40, 'was_impossible': False}"
115,propheaker,20,6.0,5.31619170431137,"{'actual_k': 40, 'was_impossible': False}"
116,Vanroy17,1868,10.0,7.8511271585261255,"{'actual_k': 0, 'was_impossible': False}"
117,NeoSpectre,16762,8.0,8.053061291026582,"{'actual_k': 40, 'was_impossible': False}"
118,koy,1686,7.0,6.171111761490627,"{'actual_k': 40, 'was_impossible': False}"
119,prab16,2581,10.0,8.778128931331462,"{'actual_k': 36, 'was_impossible': False}"
120,LigerZero248,6547,10.0,10.0,"{'actual_k': 40, 'was_impossible': False}"
121,DeadSnow24th,1723,7.0,6.420900003355035,"{'actual_k': 38, 'was_impossible': False}"
122,nicnac,527,1.4,6.470370848730761,"{'actual_k': 40, 'was_impossible': False}"
123,Kami_yar0,223,10.0,8.344027515344662,"{'actual_k': 40, 'was_impossible': False}"
124,TNinja,6707,9.0,8.514470445060319,"{'actual_k': 40, 'was_impossible': False}"
125,Ehmahixessehihem,21,5.4,2.4928839993316743,"{'actual_k': 40, 'was_impossible': False}"
126,DukeofMurk,34542,7.0,7.907257399672444,"{'actual_k': 25, 'was_impossible': False}"
127,bigkfc2k8,2605,9.0,8.862473925866787,"{'actual_k': 40, 'was_impossible': False}"
128,andyjin7777,591,8.0,7.138997718106632,"{'actual_k': 17, 'was_impossible': False}"
129,Chi_exe,10711,7.0,7.5376364622342455,"{'actual_k': 34, 'was_impossible': False}"
130,Luica,157,7.0,7.741683005364958,"{'actual_k': 40, 'was_impossible': False}"
131,Mogura,248,8.0,5.279621897089632,"{'actual_k': 22, 'was_impossible': False}"
132,NeoSpectre,13939,7.0,7.7699747891787805,"{'actual_k': 21, 'was_impossible': False}"
133,Scieska,2148,2.0,5.663538420913423,"{'actual_k': 8, 'was_impossible': False}"
134,Jorbeany,32182,7.0,7.918750433953,"{'actual_k': 40, 'was_impossible': False}"
135,Junjou9,8915,1.4,6.169482124163075,"{'actual_k': 28, 'was_impossible': False}"
136,Arkan4ik,2963,7.0,7.109239297806665,"{'actual_k': 40, 'was_impossible': False}"
137,Josh001,618,6.0,6.7003206027295406,"{'actual_k': 9, 'was_impossible': False}"
138,hampedahl,10793,9.0,6.9648460220987145,"{'actual_k': 40, 'was_impossible': False}"
139,LeonoraLibra,14397,6.0,8.904260426918436,"{'actual_k': 25, 'was_impossible': False}"
140,EnkushIkari,457,9.0,8.65474820610698,"{'actual_k': 40, 'was_impossible': False}"
141,xDivinityXD,14811,8.0,7.321150999737663,"{'actual_k': 20, 'was_impossible': False}"
142,Hota-chan,3785,9.0,7.7219652942081805,"{'actual_k': 40, 'was_impossible': False}"
143,Magaera,8074,8.0,7.739636735536852,"{'actual_k': 40, 'was_impossible': False}"
144,Zed_Astaroth,32262,0.8,4.0541894629405695,"{'actual_k': 26, 'was_impossible': False}"
145,taurenmale,886,8.0,8.22483149149459,"{'actual_k': 14, 'was_impossible': False}"
146,Karyna,23233,7.0,7.547653684007315,"{'actual_k': 40, 'was_impossible': False}"
147,Phlanel,2890,10.0,7.511177068571016,"{'actual_k': 40, 'was_impossible': False}"
148,Arctic_Fox,2025,8.0,8.607853566713189,"{'actual_k': 40, 'was_impossible': False}"
149,cutepup,4898,8.0,5.8365785484125885,"{'actual_k': 40, 'was_impossible': False}"
150,Temponly,1815,7.0,6.632830671556773,"{'actual_k': 27, 'was_impossible': False}"
151,Duer,14283,8.0,6.665009418480859,"{'actual_k': 24, 'was_impossible': False}"
152,AisBarbs,2251,6.0,6.103434298177663,"{'actual_k': 40, 'was_impossible': False}"
153,Vla,13655,10.0,7.0259722838875724,"{'actual_k': 40, 'was_impossible': False}"
154,astranagant25,76,8.0,8.331129556508193,"{'actual_k': 32, 'was_impossible': False}"
155,RoboleX,28309,6.0,7.851941166731341,"{'actual_k': 2, 'was_impossible': False}"
156,Darkani,10087,7.0,8.297361474828385,"{'actual_k': 40, 'was_impossible': False}"
157,Bryce-kun,12355,9.0,8.284066724465246,"{'actual_k': 40, 'was_impossible': False}"
158,Arshya,5341,9.0,9.687353655159708,"{'actual_k': 40, 'was_impossible': False}"
159,Vash115,32281,10.0,9.34978952207041,"{'actual_k': 40, 'was_impossible': False}"
160,Usui-Nero,21353,9.0,7.821341387329165,"{'actual_k': 36, 'was_impossible': False}"
161,Toshi13,14647,7.0,6.82873580111645,"{'actual_k': 3, 'was_impossible': False}"
162,sparc,6500,1.0,3.68111992399675,"{'actual_k': 35, 'was_impossible': False}"
163,ziomalos,8481,7.0,7.6359062603342975,"{'actual_k': 15, 'was_impossible': False}"
164,VR-Yan,30503,8.0,9.339829422357806,"{'actual_k': 40, 'was_impossible': False}"
165,Ishin,5958,7.0,7.69395896548187,"{'actual_k': 40, 'was_impossible': False}"
166,Fire__Phoenix,18397,8.0,7.821655243152975,"{'actual_k': 38, 'was_impossible': False}"
167,S-52,121,7.0,6.824082389702673,"{'actual_k': 40, 'was_impossible': False}"
168,nanko2006,10588,10.0,9.374438989230224,"{'actual_k': 40, 'was_impossible': False}"
169,xDivinityXD,819,9.0,6.424085919221122,"{'actual_k': 17, 'was_impossible': False}"
170,Lyouts,153,7.0,5.200088235420956,"{'actual_k': 20, 'was_impossible': False}"
171,Silverphox13,157,8.0,7.209784539109952,"{'actual_k': 40, 'was_impossible': False}"
172,yameeka,77,8.0,6.626560581006777,"{'actual_k': 22, 'was_impossible': False}"
173,LeonoraLibra,31478,4.2,8.180352120872163,"{'actual_k': 40, 'was_impossible': False}"
174,ANIMkka,25183,8.0,7.362636039982303,"{'actual_k': 40, 'was_impossible': False}"
175,-Axel-,856,8.0,7.897353464822722,"{'actual_k': 28, 'was_impossible': False}"
176,GF-Tobi,27831,9.0,8.603273126233569,"{'actual_k': 39, 'was_impossible': False}"
177,Aelphais,7311,9.0,9.851257107487084,"{'actual_k': 40, 'was_impossible': False}"
178,KarokuChan,390,1.4,7.887571592110897,"{'actual_k': 23, 'was_impossible': False}"
179,Paradigme,29786,8.0,6.862805711492839,"{'actual_k': 40, 'was_impossible': False}"
180,Gabi666,513,10.0,8.888560522288783,"{'actual_k': 40, 'was_impossible': False}"
181,Klains,10161,10.0,6.243532647861632,"{'actual_k': 40, 'was_impossible': False}"
182,czerkill,30187,3.2,8.702152737317052,"{'actual_k': 24, 'was_impossible': False}"
183,Rowan93,18619,8.0,5.787407572997576,"{'actual_k': 13, 'was_impossible': False}"
184,Elaclairee,908,5.0,7.578789312135995,"{'actual_k': 32, 'was_impossible': False}"
185,karnagecake,17505,0.2,2.419399140108342,"{'actual_k': 12, 'was_impossible': False}"
186,And24,17725,7.0,7.8241554617616655,"{'actual_k': 11, 'was_impossible': False}"
187,Nagicch,4814,10.0,7.845034586824893,"{'actual_k': 31, 'was_impossible': False}"
188,xandra_moon09,20,4.8,6.876536222202393,"{'actual_k': 26, 'was_impossible': False}"
189,ShinKai,7592,7.0,7.046438745752139,"{'actual_k': 40, 'was_impossible': False}"
190,Shouichirou,6444,8.0,7.7336890596651,"{'actual_k': 22, 'was_impossible': False}"
191,szakulys,4999,9.0,7.510433287184136,"{'actual_k': 40, 'was_impossible': False}"
192,ziomalos,1998,7.0,5.692330686163069,"{'actual_k': 3, 'was_impossible': False}"
193,broodo,30694,8.0,5.910371853374154,"{'actual_k': 28, 'was_impossible': False}"
194,Amartyo,34240,5.0,8.556048342309655,"{'actual_k': 40, 'was_impossible': False}"
195,Yavimaya,23587,8.0,5.758032272332939,"{'actual_k': 4, 'was_impossible': False}"
196,Ura,8424,6.0,6.076190444674419,"{'actual_k': 40, 'was_impossible': False}"
197,hampedahl,12293,2.4,5.9465288409385835,"{'actual_k': 30, 'was_impossible': False}"
198,naki,5300,8.0,8.262328155370716,"{'actual_k': 40, 'was_impossible': False}"
199,Annnnnt,8101,7.0,8.162961086638598,"{'actual_k': 9, 'was_impossible': False}"
200,Nene-tan,379,10.0,8.195850452094653,"{'actual_k': 31, 'was_impossible': False}"
201,Duer,9367,8.0,7.184077822592222,"{'actual_k': 40, 'was_impossible': False}"
202,Takala,32083,7.0,6.993329014038165,"{'actual_k': 16, 'was_impossible': False}"
203,xDivinityXD,15313,8.0,5.418721448952365,"{'actual_k': 7, 'was_impossible': False}"
204,CrixuAMG,11433,7.0,7.202577717578114,"{'actual_k': 40, 'was_impossible': False}"
205,-Savante-,10713,6.0,7.869946292427128,"{'actual_k': 14, 'was_impossible': False}"
206,dark_yoolia,408,7.0,6.697234702025012,"{'actual_k': 30, 'was_impossible': False}"
207,HarunoSakura,1535,9.0,8.639331011618896,"{'actual_k': 40, 'was_impossible': False}"
208,Biglud,28171,8.0,8.143129690399421,"{'actual_k': 40, 'was_impossible': False}"
209,Fou-Lou,156,7.0,7.586068954462643,"{'actual_k': 32, 'was_impossible': False}"
210,KKDW,5342,8.0,7.593999292432481,"{'actual_k': 24, 'was_impossible': False}"
211,Luica,30895,8.0,6.866107413833591,"{'actual_k': 15, 'was_impossible': False}"
212,LuneLibre,79,5.0,5.0515442582442045,"{'actual_k': 40, 'was_impossible': False}"
213,Josay,33506,7.0,6.230236234549955,"{'actual_k': 36, 'was_impossible': False}"
214,Niev-sama,20543,7.0,7.425692482503,"{'actual_k': 5, 'was_impossible': False}"
215,xKunek,10020,8.0,8.228406037306389,"{'actual_k': 40, 'was_impossible': False}"
216,UKCurari,591,0.8,5.353752355356916,"{'actual_k': 15, 'was_impossible': False}"
217,magraun,15689,10.0,9.162971200919298,"{'actual_k': 40, 'was_impossible': False}"
218,Josh001,1915,7.0,7.469797561872411,"{'actual_k': 22, 'was_impossible': False}"
219,Khilandros,20,8.0,7.463197623689608,"{'actual_k': 40, 'was_impossible': False}"
220,DarkFireblaze28,12365,7.0,7.356490341065792,"{'actual_k': 33, 'was_impossible': False}"
221,darthghost,33206,8.0,7.810756188495685,"{'actual_k': 40, 'was_impossible': False}"
222,DarksideLawliet,31143,5.0,5.213542546119829,"{'actual_k': 4, 'was_impossible': False}"
223,kamijoan,9736,8.0,7.249922747053849,"{'actual_k': 25, 'was_impossible': False}"
224,Stingfang,31580,4.0,5.830996844384661,"{'actual_k': 40, 'was_impossible': False}"
225,Boethia,5530,8.0,7.819363209153355,"{'actual_k': 40, 'was_impossible': False}"
226,Kurocon,13759,6.0,8.268060578431815,"{'actual_k': 40, 'was_impossible': False}"
227,Botanchan,7674,9.0,9.118250965652212,"{'actual_k': 40, 'was_impossible': False}"
228,A_Singh23,33352,10.0,8.132272341864315,"{'actual_k': 32, 'was_impossible': False}"
229,Edeor,321,4.0,5.2795736961769855,"{'actual_k': 11, 'was_impossible': False}"
230,ocyboss,7647,9.0,7.751648055288857,"{'actual_k': 40, 'was_impossible': False}"
231,Panda_kabob,2685,3.0,8.150668239338819,"{'actual_k': 31, 'was_impossible': False}"
232,brendaspencer,11111,8.0,7.538151781773169,"{'actual_k': 40, 'was_impossible': False}"
233,Pururut-sama,918,8.0,4.668009451298401,"{'actual_k': 40, 'was_impossible': False}"
234,Clefairy_Nanashi,9515,6.0,6.547251222324386,"{'actual_k': 40, 'was_impossible': False}"
235,allyegra,16067,10.0,8.205352740910012,"{'actual_k': 37, 'was_impossible': False}"
236,_P4NS1LUUU_,30727,10.0,8.559647122452642,"{'actual_k': 23, 'was_impossible': False}"
237,shouAdZ_MAL,30895,8.0,7.526366435774524,"{'actual_k': 15, 'was_impossible': False}"
238,espada13,901,8.0,8.331758178530302,"{'actual_k': 23, 'was_impossible': False}"
239,-Sato-,14283,7.0,8.56495600491908,"{'actual_k': 21, 'was_impossible': False}"
240,Morakillo,16049,9.0,8.075504443594166,"{'actual_k': 40, 'was_impossible': False}"
241,Auriolus,31772,8.0,6.986355523591915,"{'actual_k': 21, 'was_impossible': False}"
242,Saori-chan,3322,4.8,4.672069156753456,"{'actual_k': 6, 'was_impossible': False}"
243,oddsety,20,0.6,6.758642908801617,"{'actual_k': 40, 'was_impossible': False}"
244,Seera-fi,132,2.4,7.261398691794856,"{'actual_k': 25, 'was_impossible': False}"
245,reira,12695,8.0,7.681037677516571,"{'actual_k': 10, 'was_impossible': False}"
246,Hota-chan,1121,7.0,6.163157217772548,"{'actual_k': 22, 'was_impossible': False}"
247,anatema,3785,9.0,8.231215415578037,"{'actual_k': 40, 'was_impossible': False}"
248,Sylethom,32937,8.0,7.899435376714837,"{'actual_k': 40, 'was_impossible': False}"
249,yameeka,13659,6.0,5.467170067072755,"{'actual_k': 40, 'was_impossible': False}"
250,CoyBoy,9366,10.0,9.290996973316128,"{'actual_k': 30, 'was_impossible': False}"
251,Arshya,936,10.0,8.54979773073641,"{'actual_k': 40, 'was_impossible': False}"
252,Knighty,21845,7.0,4.46557715760645,"{'actual_k': 9, 'was_impossible': False}"
253,raduccio,517,9.0,8.034949740591955,"{'actual_k': 21, 'was_impossible': False}"
254,Shouichirou,30279,8.0,8.061290762941834,"{'actual_k': 17, 'was_impossible': False}"
255,Dragon_Slayer_X,1557,8.0,7.608660865314659,"{'actual_k': 8, 'was_impossible': False}"
256,AnaEmdi,4551,0.6,6.659104348398572,"{'actual_k': 29, 'was_impossible': False}"
257,Neko20,223,1.2,7.407942553214718,"{'actual_k': 40, 'was_impossible': False}"
258,Yukisss,20507,8.0,7.741948075542236,"{'actual_k': 40, 'was_impossible': False}"
259,Shi_a,11761,3.0,6.061502207151142,"{'actual_k': 32, 'was_impossible': False}"
260,MisDiagnosed,13619,9.0,7.577744513628145,"{'actual_k': 2, 'was_impossible': False}"
261,yeTeh,26243,8.0,7.304073751754414,"{'actual_k': 40, 'was_impossible': False}"
262,Shi_a,195,6.0,6.218431120150105,"{'actual_k': 36, 'was_impossible': False}"
263,angiecookie,9617,8.0,8.681688374291335,"{'actual_k': 40, 'was_impossible': False}"
264,PuppGod,23283,9.0,8.940573327224113,"{'actual_k': 40, 'was_impossible': False}"
265,COpeter,3470,8.0,6.856963738049928,"{'actual_k': 40, 'was_impossible': False}"
266,Chemical_Undead,5177,7.0,7.4627125743332305,"{'actual_k': 40, 'was_impossible': False}"
267,Friddan,14345,6.0,6.686314145726715,"{'actual_k': 40, 'was_impossible': False}"
268,nekocink,33003,6.0,6.956327835496657,"{'actual_k': 10, 'was_impossible': False}"
269,Lyouts,10396,7.0,5.651160586003226,"{'actual_k': 40, 'was_impossible': False}"
270,mudjoe2,3228,10.0,8.570649766408774,"{'actual_k': 40, 'was_impossible': False}"
271,Arcadian_Legend,597,9.0,7.627492229961468,"{'actual_k': 39, 'was_impossible': False}"
272,TKHilton,9756,8.0,8.63471692467143,"{'actual_k': 40, 'was_impossible': False}"
273,doggyguard,2904,10.0,9.121776498288897,"{'actual_k': 40, 'was_impossible': False}"
274,Edeor,899,6.0,6.789596344156055,"{'actual_k': 27, 'was_impossible': False}"
275,TrickMirror,19369,8.0,7.223637699511129,"{'actual_k': 40, 'was_impossible': False}"
276,Dokke,11843,8.0,7.013419485518546,"{'actual_k': 40, 'was_impossible': False}"
277,Torah,174,8.0,8.05365696770917,"{'actual_k': 40, 'was_impossible': False}"
278,dioshio,27,6.0,5.421454250151494,"{'actual_k': 38, 'was_impossible': False}"
279,kamijoan,33091,9.0,7.66685704202627,"{'actual_k': 18, 'was_impossible': False}"
280,sparc,93,10.0,5.68840761418299,"{'actual_k': 40, 'was_impossible': False}"
281,Silverphox13,457,9.0,8.116394771144988,"{'actual_k': 40, 'was_impossible': False}"
282,allyegra,1847,9.0,8.247025246914509,"{'actual_k': 12, 'was_impossible': False}"
283,Sakura918,10080,10.0,9.808149287818466,"{'actual_k': 40, 'was_impossible': False}"
284,Iandaar,8525,10.0,9.041342858886619,"{'actual_k': 40, 'was_impossible': False}"
285,Shunnsuke,11743,10.0,8.913938944899279,"{'actual_k': 16, 'was_impossible': False}"
286,xDivinityXD,15125,5.0,7.459404086731531,"{'actual_k': 8, 'was_impossible': False}"
287,Shouichirou,4896,9.0,7.80699788626567,"{'actual_k': 40, 'was_impossible': False}"
288,the12thdoctor,4063,7.0,7.9500942809371224,"{'actual_k': 40, 'was_impossible': False}"
289,corvuscora,9656,6.0,7.45570528618882,"{'actual_k': 40, 'was_impossible': False}"
290,niintysix,10020,10.0,8.216038339557135,"{'actual_k': 40, 'was_impossible': False}"
291,Croissant07,14669,9.0,8.34123460032314,"{'actual_k': 9, 'was_impossible': False}"
292,Annnnnt,6984,10.0,9.603768714051126,"{'actual_k': 9, 'was_impossible': False}"
293,Pierek,417,8.0,6.380508274662318,"{'actual_k': 13, 'was_impossible': False}"
294,KhaozNinja,225,5.0,7.535760787779144,"{'actual_k': 40, 'was_impossible': False}"
295,Shouichirou,23945,8.0,6.448709029530654,"{'actual_k': 15, 'was_impossible': False}"
296,xacthashtag,1698,8.0,6.661707381735534,"{'actual_k': 40, 'was_impossible': False}"
297,Yakuhl,6637,9.0,7.217536815105318,"{'actual_k': 22, 'was_impossible': False}"
298,LongLimbs,36934,4.8,4.000731814426025,"{'actual_k': 6, 'was_impossible': False}"
299,Takala,7774,6.0,7.075963895241286,"{'actual_k': 3, 'was_impossible': False}"
300,crockmez,5300,8.0,8.47088558492225,"{'actual_k': 40, 'was_impossible': False}"
301,waldorfian,731,9.0,7.323163705079591,"{'actual_k': 16, 'was_impossible': False}"
